Variable / Field Name,Form Name,Field Type,multipleChoice,Field Label,"Choices, Calculations, OR Slider Labels",minVal,maxVal,Branching Logic (Show field only if...)
happiness,emotions,slider,,Happiness,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",1,5,
sadness,emotions,slider,,Sadness,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",1,5,
anxiety_fear,emotions,slider,,Anxiety/Fear,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",1,5,
anger,emotions,slider,,Anger,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",1,5,
shame_guilt,emotions,slider,,Shame/Guilt,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",1,5,
suicide,target_behaviors,slider,,Suicide,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",1,5,
self-harm,target_behaviors,slider,,Self-harm,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",1,5,
impulsive_urges,target_behaviors,slider,,Impulsive urges,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",1,5,
picking_scratching,target_behaviors,slider,,Picking/scratching,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",1,5,
planning_suicide,target_behaviors,slider,,Planning for suicide,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",1,5,
purge,target_behaviors,slider,,Purging,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",1,5,
mindfulness_skills,skills,radio,1,Mindfulness Skills (Check skills used),"1, Wise Mind | 2, Observe: Just notice without reacting | 3, Describe: Put words on, label emotion | 4, Participate: Enter into the experience | 5, Nonjudgmental Stance | 6, One-mindfully in the moment | 7, Effectiveness: Focus on what works",,,
interpersonal_skills,skills,radio,1,Interpersonal Skills (Check skills used),"1, Objective Effectiveness (DEAR MAN) | 2, Relationship Effectiveness (GIVE) | 3, Self-respect Effectivness (FAST) | 4, Dialectics",,,
emotion_regulation,skills,radio,1,Emotion Regulation (Check skills used),"1, Reduced Vulnerability (PLEASE) | 2, Accumulate Positive Experiences | 3, Build Mastery | 4, Cope Ahead | 5, Check the Facts | 6, Problem Solve | 7, Opposite Action",,,
distress_tolerance,skills,radio,1,Distress Tolerance (Check skills used),"1, STOP | 2, Distract (Wise Mind ACCEPTS) | 3, Self-soothe | 4, TIPP | 5, IMPROVE the Moment | 6, Pros and Cons | 7, Radical Acceptance",,,
module_of_the_week,skills,radio,,Module of the Week,"1, Mindfulness | 2, Interpersonal Effectiveness | 3, Emotion Regulation | 4, Distress Tolerance",,,
important_events,events,text,,What important events happened today?,,,,
daily_goal,events,text,,What was your goal for today?,,,,
goal_achieve,events,radio,,Did you achieve this goal?,"0, Yes | 1, No",,,
goal_obstacles,events,text,,What got in the way?,,,,[goal_achieve] = 0 
